business_name,phone,website,rating,reviews,address,price,user_review,serpapi_thumbnail
Lola's Cafe,+65 6284 0349,http://lolascafe.com.sg/,4.4,2303,"5 Simon Rd, Singapore 545893",$$,"""It's a small pet friendly cafe with lots of diners.""",https://serpapi.com/images/url/JZmDkHicBcHbDoIgAADQLyIpL2VbD5blJdesli1fnJGgQeAAl_GDfUN_0zm_b6t1r5aWxVp7QoQgrBlUI5HguuF6gsTLIr0CSAFlBRu_dbhMxqSyqXfGMquGqotv17gL8EuuA_epj9DFaVhemDnIpMYzhxeL515CvEUjoCZi1wZ14J7WIvTmhReVgPp179yYzuGbzHN7Fx1nJ2nMRWo6hvttBn0_7D8RXe8eaZqXRWzcPLsPZPVeQNBOoQco4OIPWlBE6Q
My Awesome Cafe,+65 8798 1783,http://www.myawesomecafe.com/,4.7,6720,"202 Telok Ayer St, Singapore 068639",$$,"""The vibe is really chill, and the crowd is here pet friendly!""",https://serpapi.com/images/url/DKUFiXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb5zoG1wYGp_sW2qZZBRv4OgbFenn4mSW7mHpU1CZ6WbiVeVlbmpbbmmim2FppJutm5cPAHETIDw
What The Pug,+65 6293 3350,http://www.beau.com.sg/,4.4,251,"80 Haji Ln, Singapore 189271",,"""Lovely dogs, entry fee includes a photo with dogs and a drink :) had fun!""",https://serpapi.com/images/url/wASQ6HicBcFdboMgAADgE1E7bKMu2QMxtVadP8WZjjexDLpRoEI3xwV3ht5m3_f4E84Z-xwEUoQrrjWX7G7ZPGnlmHKrSV8DbiyYLLABShOxUcYcZDEhXI9nlhOfx01Rpd11THfQCYKOsvfpXn7PYdZ2OMkzfeMU_9bllpa08KrnN8Gaj3Z5izfhnezGnAzm9X07OKw-98uRVKfL2KII0iVDcwn7KIujah0STkmXDL5Z1x6fT5K__DxBCEQCwRdQ-h9n_kTv
W39 Bistro & Bakery,+65 8807 2421,http://www.w39bistro.com/,4.3,848,"39 Jln Mas Puteh, Singapore 128637",$$,"""This is a cosy dog friendly cafe in a nice quiet neighbourhood!""",https://serpapi.com/images/url/D_RltnicBcFRboIwGADgE_0iIAyX7IGgw7TiAkRQX4xraqsDWmgtdBf0DN7G73s9udZSfTpOw_0ZE4I19KHoQESnaadnRLQOkwqIAuXEyZIvuqGHSB-0nbbJSnnDfJ-VcDSIISqa5mjOZiwwJVjmXBbcTIBd67v_a1fWfUqvH9CT8H4Q6428_aa1Nz6SNCN24pc84H6esEmFYdleNlEL2iB731X4B43bLKAYp4vi25ZVjOpTFH-NbhACX3rwB514A9FzRc4
Little Part 1 Cafe,+65 6909 8354,http://www.littlepart1cafe.com/,4.6,556,"54 Blair Rd, #01-01, Singapore 089954",$$,"""Pet-friendly and good quality food.""",https://serpapi.com/images/url/xX2733icBcFbjoIwFADQFVVCBbWTzEfF98TQGRyYPyMFejP2QehFlA26BnfjOa8nILb-Iwg0TCfKOaXr3teddBZrixPpTKBaT6QnPuAJg8h2zRCKBvo7IM3O7XhdLE-_fzwu75d0u6gAZnE8DhtV8Z57drzQdlWbA9e7oYh0iXiTyG_a9DovpmuW7aPyUXTnfRV5Jsx_mRhlaCPms5ykoxWkY4mey2O-RC2S7OdrU0D4SNPD9-cQUkqAUXIl1r0B1rxF6w
Lola's,+65 8863 6515,https://www.lolascafe.com.sg/,4.4,519,"48 Lor Mambong, Singapore 277699",$$,"""Outdoor tables are pet friendly.""",https://serpapi.com/images/url/bwCzYHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF-mYVpGe6V9klBUa4esRHOSZl2YeGpDom-GW5ByVH2EaWlLoWWVbbmhqoJthaaSbrZuXDwC0YiGf
PS.Cafe Katong,+65 6708 9288,http://www.pscafe.com/,4.3,638,"112 E Coast Rd, #01-01/02/03, i12 Katong, Singapore 428802",$$$,"""Dog friendly at the outdoor patio, big plus!""",https://serpapi.com/images/url/F2uWzXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX5zu6BaQGZRm7ptV4JxvUODmXBWUlBNmWZSX4h1lnFSZk-QSFGBbbmGgm2FoYKCbrZuXDwC1gCGe
The Brewing Ground,+65 8313 6092,http://www.thebrewingground.sg/,4.5,844,"406 Joo Chiat Pl, #01-24, The Yards, Singapore 428084",$$,"""Delicious food with generous portions at a lovely dog friendly cafe.""",https://serpapi.com/images/url/CNieB3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga5bh5GocH-ltWOybapHu5VxoUpqbF1SQ4m6QEVhclhYcGGzqZGlbbmGgm2FoYKabrZuXDwCZ7yDh
"Little Farms Bar+Grill, Serangoon Garden (Restaurant)",+65 3158 7041,https://littlefarmscafe.com/pages/little-farms-bar-grill-serangoon,4.5,445,"1 Maju Avenue, Serangoon Garden Way, #01-09/10/11, MyVillage at, Singapore 556679",,"""Excellent food, service and dog friendly atmosphere.""",https://serpapi.com/images/url/IEit-XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb1Ga4h9k6BpvWuHi7l7p41RaYpaTVxaVEe_tnxSRWhmSGFmYmGZbbmGgm2FoYKabrZuXDwCyySHa
Bee's Knees at The Garage,+65 9815 3213,https://www.beesknees.sg/,4,1745,"Cluny Park Rd, Level 1, The Garage, 50, Singapore 257488",$$,"""A very dog-friendly cafe with relaxed outdoor seating.""",https://serpapi.com/images/url/XWHIeHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn-EfYRycVmCa5emtaxyRF1ZREmQcUZKSmB5uXJntFu4Z6mMYlGVbbmhsoZthaaSbrZuXDwCl-CEy
Into The Woods Cafe,+65 6996 7601,https://www.facebook.com/p/i2-The-Woods-Cafe-100023430863884/,4.3,270,"26 Jln Kelulut, Singapore 809043",$$,"""A pet friendly cafe.""",https://serpapi.com/images/url/eN-dv3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkOuVlZnpW-ldVVnk5hZvaeYfYhhfVlipa5AbUhxSUFxuWlVR5mRbbmhkpJthaaSbrZuXDwDIQSI7
Stray Cafe,+65 8017 8729,,4.6,128,"2 Jln Lokam, #01-51/52, Kensington Square, Singapore 537846",,"""Each table is fenced so pets can roam within and not risk dog fights.""",https://serpapi.com/images/url/qFKsg3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ-qcFpFaGVgVEe5UmR9s7prrFOBV5GVo5O1b6ZftY-mSXFDp62hbbmGgm2FoYKabrZuXDwCnqiEg
PRAIRIE by Craftsmen (Joo Chiat),+65 6951 3796,https://prairie.sg/,4.3,808,"462 Joo Chiat Rd, Singapore 427674",,"""good food, pet-friendly (the outside at least) and cool place to chill!""",https://serpapi.com/images/url/aRTbZHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEBmSWOBfEBVlGu_onJyaHxIeZFkU4GaaUx4ZblzlkxNkUZKWlWxbbmGgm2FoYqSbrZuXDwC0DyGi
Daizu Cafe,,http://daizucafe.com/,4.1,579,"129 Rangoon Rd, Singapore 218407",$$,"""It has both outdoor (pet friendly) and indoor seating.""",https://serpapi.com/images/url/8Qh9AnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkGhg6G1UZFEcbliWnm_p5mWUHZqfVuhVml1UblLsE-hSkpValmRbbmGgm2FoYqSbrZuXDwCpliGt
The Bark Cafe,+65 8281 2125,,4.1,1236,"1000 Upper Changi Rd N, Singapore 507707",$$,"""Love the open air seating and the pet friendly atmosphere.""",https://serpapi.com/images/url/6b5ZCnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYBxflZpTmVXkl1fpUZwZlB6Znu7l6O1sGuCXb-7sFxZmFOJpVmBbbmGgm2FoYKabrZuXDwC_mCF1
Earlybird,+65 9788 6856,https://www.facebook.com/earlybirdcafesingapore,4.5,729,"17 Jln Pinang, Singapore 199149",$$,"""Went to this pet-friendly cafe with our dog on Sunday morning.""",https://serpapi.com/images/url/Wwvpa3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4Okf7J7haqHrmpUYlZxm4u_pmZgX5mtYZOjiVVBulhVYpVuZnmJbbmhkpJthaaSbrZuXDwCVaSDq
FLOCK CAFE,+65 6536 3938,http://flockcafe.com.sg/,4.1,919,"01-25 Tiong Bahru Estate, 78 Moh Guan Terrace, #01-25, Block 78, Singapore 162078",$$,"""Good food, quick service and pet friendly cafe""",https://serpapi.com/images/url/IBGLFXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkGTuWOJvnOLmG-Aanl_kZZ6TW5EekJ9cYOya759p4FhgbFLhn29bbmhkpJthaaSbrZuXDwCnOCFD
"Wildseed Café at 1-Flowerhill, Sentosa",+65 9630 3287,https://www.wildseedcafe.sg/1-flowerhill,4.6,102,"6 Imbiah Rd, Singapore 099696",,"""Surprisingly good brunch food and dog-friendly as well.""",https://serpapi.com/images/url/xIl_anicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4Fbi5-lV5WGerevn6pZmHB-QmJFtUOAVHuLlGZnjaJBVnhlYWGFbbmGgm2FoYqSbrZuXDwCeZSEp
A Beautiful Day Café Tea Room + Cocktail Bar,+65 9384 8401,http://abeautifulday.asia/,4.2,271,"2 Paya Lebar Rd, #01-09, PLQ PARKSIDE below, Parkplace Residences, Singapore 409053",,"""It’s rare for dog-friendly cafes to serve up actually tasty food fr.""",https://serpapi.com/images/url/nrE2-XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ16WaWTmEaDrHZCS5ekZ7G2Z5uKUm5qf5-Nk5moa7FQaFuTpYWBbbmhkpJthaaSbrZuXDwCFYiAm
Snow Pawttage,,https://www.instagram.com/samoyedcafe.sgsnowpawttage?igsh=MW9kYXd6Mnp3OTdvYw==,4.9,205,"723 Geylang Rd, Singapore 389634",,"""... interactive and the place is clean, dogs & owner/staff are friendly.""",https://serpapi.com/images/url/jIWVTnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX26W65IUVh6Y6-Xk6VVa6O5nGO_tbRlQkVwVFZXqGB5RYulsmmZbbmGgm2FoYKabrZuXDwCtDyFC
MERCI MARCEL TIONG BAHRU,+65 6224 0113,http://mercimarcelgroup.com/,4.7,3261,"56 Eng Hoon St, #01-68, Singapore 160056",$$,"""Nice dog friendly cafe with good food.""",https://serpapi.com/images/url/mAtnf3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEBYSEBXv6u1nXlTsVBmSY55TGVbkVpiakavrnpoSYBxmmW1Y7GVbbmhsrpthaaSbrZuXDwCxbiFy
Le Jardin: Café,+65 8870 9977,http://www.lejardin.com.sg/,4.2,1014,"5 Cox Terrace, Level 2, Fort Canning Arts Centre, Singapore 179620",,"""Love the decor and the fact that it is dog-friendly!""",https://serpapi.com/images/url/DxfI4XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm5ieVRXoFlLmWJHsYmSa7ZVtlpXrnZMZ5RdZapJcEOqU4hJgGGFbbmGgm2FoYKabrZuXDwC3WSF5
Chye Seng Huat Hardware,+65 6299 4321,http://www.cshhcoffee.com/,4.3,2683,"150 Tyrwhitt Rd, Singapore 207563",$$,"""Great pet-friendly coffee (and beer) place to relax and have a snack.""",https://serpapi.com/images/url/doQBtXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn59vFuHjYuKdHK5raegZalKYH1BUbB7sWhbhH2qc7G1eGOEZ7mJbbmhsrpthaaSbrZuXDwCO9CCF
PRAIRIE by Craftsmen (River Valley),+65 6966 2480,https://prairie.sg/,4.4,410,"486 River Valley Rd, Singapore 248370",,"""Pet-Friendly outdoor seating.""",https://serpapi.com/images/url/yfLv53icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEO5X4pNelBgeH1_s6J9V5J6SHxQe6eaZmmuk62HqkZKrmxoQGG5bbmGgm2FoYKabrZuXDwC2HyFV
Little Part 2 Cafe,+65 6909 3740,https://www.littlepart2cafe.com/,4.6,76,"BLK 106 Clementi Street 12, #01-38, Singapore 120106",,"""Is a pet friendly cafe and food is yummy.""",https://serpapi.com/images/url/6Q3xxHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm19V4OSabVhWlO9TlBEWZBCfapCbHmUa6u2R7VEcFWoWX55qZGxbbmGgm2FoYKabrZuXDwC61yF-
FlagWhite,+65 9894 9882,https://www.flagwhitecafe.com/,4.5,1029,"106 Jln Jurong Kechil, Singapore 598604",$$,"""Awesome food coffee reasonably priced and dog friendly""",https://serpapi.com/images/url/TTQ8lXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkF6clpdS6pIdEJFiZBxfVpobXlnm7RFRmZVvEm9s5JFm5ONUZWBbbmhmrJthaaSbrZuXDwDGZCG9
Stellar Kitchen Bar,+65 9278 1310,http://www.stellarkitchenbar.sg/,4.3,785,"15 Science Centre Rd, Singapore 609081",$$,"""... took the window seats and had our dog in sight, so it’s pet friendly.""",https://serpapi.com/images/url/DHh1qnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW1ZibOJjmBEVFRkYFOWTkWiZ55STHuSe7ZPoHxzhnesYEFWSZGpbbmGgm2FoYKCbrZuXDwClrCEn
Surrey Hills Grocer - VivoCity (Pet Friendly),+65 8189 6392,https://www.surreyhillsgrocer.sg/,4.7,760,"1 HarbourFront Walk, #03-02, VivoCity, Singapore 098585",,,https://serpapi.com/images/url/15JxAXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng71iY5GuZpeud7xsZnOfp42-anlpm6RmZnuRjXuGdaW4c6eyUEWZbbmGgm2FoYqSbrZuXDwCcGSDL
Kith Café West Coast,+65 6041 0548,http://www.kith.com.sg/,4.3,334,"123 West Coast Crescent Located within Seahill, #01-17 Oasia Residence, Singapore 126779",$$,"""Also pet friendly cafe + a playground for kids too!!""",https://serpapi.com/images/url/HYFN9HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUJpTnFkSUOpanBzlX-BS6ZLrE5WXYpoWVBRfmO8Tlp7jG5jjnmdbbmhkpJthaaSbrZuXDwDdPyKp
Folk Yard,,,4.4,430,"51 Upper Serangoon Rd, #01-59, Poiz Centre, Singapore 347697",,"""Nice cafe, dog friendly, lovely banana bread and coffee""",https://serpapi.com/images/url/jU2s_nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OwUZeJtFBKRlu6dY-7rXhyRmO5n4BKQExEammPqXpkb7xWZ5GdbbmGgm2FoYKabrZuXDwCWBSDk
On Pause,,https://www.instagram.com/cafe.onpause/,4.5,75,"37 Lowland Rd, Singapore 547440",,"""Cafe is pet-friendly and roomy enough for dogs to be around.""",https://serpapi.com/images/url/eELvBHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngbxqUlRWWFuoaFOmUZOTllG1RFRDs454R4eIcFFCcXGJSkm2pa2ZbbmGgm2FoYKabrZuXDwCaEiC4
PRAIRIE by Craftsmen (Cluny Court),+65 6972 9142,https://prairie.sg/,4.2,1295,"501 Bukit Timah Rd, #01-05C, Cluny Court, Singapore 259760",,"""The outdoor seating is cosy and this place is also pet friendly.""",https://serpapi.com/images/url/GYDOz3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX2VsWpzrVlpaGuXrWRRlHpzoHJZSEJ8SUOZVlFwSHxSR653pU2lbbmGgm2FoYKCbrZuXDwDIjiJF
The Caffeine Experience | TSV,+65 8862 6433,http://www.theofficialtce.com/,4.5,47,"1 Vista Exchange Green, #01-21, The StarVista, Singapore 138617",,,https://serpapi.com/images/url/1XnM0XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEBScEVpRnmJYFVjsG1Qa4ZPolVbgFhbg4xbvZBngkl_l51hcYGhbbmGgm2FoYKabrZuXDwC7uSGb
