breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
American Leopard Hound,"The American Leopard Hound is a distinguished medium to large-sized breed, renowned as one of the oldest tree dogs in the U.S. Its striking appearance showcases three primary coat patterns—Solid, Leopard, and Brindle—across nine official colors and various markings, though solid colors are the most common, accounting for sixty percent of the breed.

Beyond their distinctive looks, American Leopard Hounds are celebrated for their exceptional intelligence, making them highly trainable and deeply devoted family companions. They exhibit profound love and affection towards their human families and are notably protective of children. Possessing extremely strong tracking abilities, they are legendary for pursuing game for miles.

Renowned for their versatile hunting prowess, they excel at treeing a wide variety of game, including raccoon, bear, bobcat, cougar, and squirrel. Their remarkable toughness allows them to thrive in extreme weather conditions, enduring both scorching heat and bitter cold with ease.

The breed's history saw it officially organized and named the American Leopard Cur in 1960. Breed club members later changed its designation to the American Leopard Hound on May 1, 2008, years before its eventual recognition by the American Kennel Club.
","Sociable, Energetic, Intelligent",,53.34,68.58,20.41,31.75,12,15,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1,Eager to Please,0.6,Alert/Responsive
American Staffordshire Terrier,"The American Staffordshire Terrier, affectionately known as the AmStaff, is a breed celebrated for its powerful presence, keen intelligence, and unwavering loyalty. These stocky, muscular bull-type terriers typically stand between 17 to 19 inches at the shoulder, embodying a striking blend of strength and agility.

Their distinctive head is broad, featuring well-defined jaws, pronounced cheekbones, and dark, round eyes set wide apart, conveying an alert and confident expression. Beneath a stiff, glossy coat, which comes in a stunning array of colors and patterns, lies an athletic physique that moves with agile grace and a confident, springy gait.

Beyond their impressive build, AmStaffs are renowned for their vibrant personalities. Described by enthusiasts as smart, confident, and inherently good-natured, they possess a proverbial courage coupled with a remarkable awareness of their surroundings. Around the house, they are often cherished ""personality dogs,"" eager for mental and physical challenges. Their keen intelligence makes them highly trainable, a trait evident in their many successful forays into canine sports and even showbiz.

A responsibly bred and well-socialized AmStaff is a truly loyal and trustworthy companion for life. For those considering welcoming this magnificent breed into their lives, doing your homework and seeking out a responsible AKC breeder is paramount to ensuring a healthy, well-adjusted friend.","Confident, Smart, Good-Natured",85,43.18,48.26,18.14,31.75,12,16,Terrier Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
American Water Spaniel,"The American Water Spaniel (AWS) is a distinctively American gundog, originating from the icy waters and marshy banks of the Great Lakes region in the 19th century. This muscular, midsize spaniel is built for the job, sporting a luscious brown coat that is either tightly curled or wavy, offering superb waterproofing. Their dense double coat, thickly padded feet, and webbed toes are perfectly adapted for retrieving in frigid conditions. Their moderate size also allowed them to easily hop in and out of a skiff without upsetting the boat.

Not flashy in looks or performance, the AWS is admired for its merry, intelligent, and versatile nature. These upbeat, outdoorsy athletes are natural hunters, expertly combining the flushing abilities of a spaniel with the retrieving drive of a retriever. They excel in various dog sports and thrive on activity, especially when it involves their beloved human.

A truly happy American Water Spaniel is an active one. Without sufficient mental and physical engagement, these bright dogs can become bored, leading to undesirable behaviors like excessive barking or destructiveness. While generally charming and eager to please with their families, they can be reserved or a bit stubborn with strangers. For an active family who loves the outdoors, the loyal, charming, and endlessly energetic American Water Spaniel makes an exceptional companion.","Eager, Happy, Charming",166,38.1,45.72,11.34,20.41,10,14,Sporting Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,1,Eager to Please,0.8,Friendly
Anatolian Shepherd Dog,"The Anatolian Shepherd Dog is a majestic and powerful presence, standing 27-29 inches at the shoulder and weighing up to 150 pounds. This formidable build, packed with dense muscle, belies a surprising agility—a necessary trait honed over millennia. Their heritage stretches back 6,000 years to the Bronze Age, making them direct descendants of some of the oldest known domestic-canine bloodlines. This ancient lineage imbues the breed with a timeless, no-frills quality, reflecting their original purpose.

Originally bred to guard livestock against formidable predators across harsh Anatolian terrains, these dogs are unparalleled as dedicated flock guardians. Their protective instincts are profound, extending fiercely to their human families, children, and even smaller household pets. Intelligent, discerning, and profoundly loyal, Anatolians are remarkably adaptable, displaying a calm and patient demeanor when not actively protecting.

However, owning an Anatolian is a serious commitment. Their strong will and territorial nature demand a confident, consistent leader capable of providing early socialization and firm guidance. For the right owner, this magnificent breed is a devoted companion and an unrivaled protector, embodying a timeless strength and an unwavering heart.","Loyal, Independent, Reserved",90,68.58,73.66,36.29,68.04,11,13,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Appenzeller Sennenhund,"The Appenzeller Sennenhund, also known as the Appenzeller Mountain Dog or Appenzell Cattle Dog, is a vibrant and highly capable breed hailing from the picturesque Swiss Alps. This striking medium-sized dog boasts a powerful, muscular, and agile physique, often described as almost squarely built and perfectly balanced, all wrapped in a distinctive tri-color coat.

Beyond their impressive appearance, Appenzellers are renowned for their lively, high-spirited, and self-assured temperament. They are inherently reliable and fearless, making them exceptional working dogs. Their sharp intelligence renders them highly capable learners, eager to embrace new challenges and excel in various disciplines. This versatility sees them not only performing traditional roles as diligent driving, watch, guard, house, or farm dogs, but also shining in modern canine activities such as agility, obedience, herding, and search and rescue.

While deeply loyal to their families, Appenzellers possess a natural suspicion of strangers, making them excellent and famously ""unbribable"" watchdogs. However, their active minds and considerable exercise requirements mean they are ill-suited for apartment living. The Appenzeller Sennenhund thrives in environments where they can engage both their bodies and minds, embodying the perfect blend of a diligent worker and an energetic, devoted companion.","Agile, Versatile, Lively",,48.26,55.88,21.77,31.75,12,15,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,1,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
Australian Cattle Dog,"Meet the Australian Cattle Dog (ACD), a compact yet powerfully built herder, standing between 17 to 20 inches at the shoulder. Also known as the Blue Heeler or Queensland Heeler, this breed is famed for its strength, agility, and remarkable endurance. ACDs are born with a distinctively white coat that later develops into striking blue-gray or red patterns, often featuring beautiful mottling or specking.

These resilient dogs boast an immense work drive, excelling at everything from herding livestock to various dog sports. Their boundless energy and supple gait make them exceptional running partners. ACDs are famously intelligent, fiercely loyal to their families, and naturally wary of strangers, making them excellent watchdogs.

However, an ACD's sharp mind requires constant stimulation. Without a job to do or regular mental and physical challenges, they can quickly become bored and resort to mischievous behaviors. Prospective owners should be prepared to engage their ACD in daily vigorous exercise, training, or competitive sports to keep them happy and balanced.

Tracing their lineage back to Australia’s wild Dingo, the ACD's keen intellect means they can sometimes outsmart even their most experienced owners. Their unwavering devotion and tireless spirit make them truly unique companions for active individuals or families.","Alert, Curious, Pleasant",55,43.18,50.8,15.88,22.68,12,16,Herding Group,0.2,Occasional Bath/Brush,0.8,Regularly,1,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
Australian Kelpie,"The Australian Kelpie stands as a quintessential symbol of the rugged spirit and ingenuity of the Australian outback. This highly intelligent and intensely loyal herding dog embodies unwavering devotion to duty, making it an indispensable partner for stockmen across vast landscapes.

Possessing a profound natural instinct for working sheep, the Kelpie excels whether guiding flocks over sprawling open fields or executing precise movements within enclosed yards. Its unparalleled aptitude for stock work demonstrates remarkable versatility and an innate drive to gather and control livestock with precision.

Though descended from Collie-type dogs imported from Scotland, the Kelpie was meticulously developed in Australia to thrive under the continent's unique, often harsh conditions. Breeders selectively bred for resilience, ensuring the dog could withstand the intense heat, arid environments, and expansive distances characteristic of the Australian interior.

Physically, the Kelpie is a dog of incredible athleticism and endurance – lithe, agile, and capable of untiring work from dawn till dusk. Mentally, its sharpness is equally impressive. Renowned for its exceptional intelligence, acute alertness, and an insatiable eagerness, coupled with seemingly unlimited energy, the Kelpie is highly trainable and thrives when given a purpose. A true working dog, the Kelpie's happiness is deeply tied to having a job to do, channeling its boundless energy and sharp mind into productive endeavors.","Loyal, Alert, Intelligent",,43.18,50.8,,,10,13,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,1,Eager to Please,0.6,Alert/Responsive
Australian Shepherd,"The Australian Shepherd, or ""Aussie,"" is a captivating and intelligent breed synonymous with the American West. Despite their name, these versatile herding dogs were perfected in California, believed to be descendants of European sheepdogs brought to Australia, then to the United States. They became an indispensable fixture on ranches and the rodeo circuit, closely associated with the cowboy way of life.

A medium-sized, agile worker, the Aussie is instantly recognizable by its keen, penetrating gaze and often striking merle coat, a mottled pattern with contrasting shades of blue or red. Beyond their distinctive appearance, Aussies possess an inherent and irresistible impulse to herd—whether it's livestock, birds, other pets, or even children. This powerful instinct, combined with their boundless energy, means they are not a breed for the faint of heart or sedentary owners.

Remarkably intelligent and quick to learn, Aussies thrive on having a ""job."" Their sharp minds, while making them highly trainable for competitive dog sports like agility, obedience, and, of course, herding, can also pose a challenge for unsuspecting novice owners. They are clever and can easily outwit those unprepared for their wit.

For the right individual or family, however, the Australian Shepherd is an unparalleled partner. If you’re seeking a brainy, tireless, and loyal companion eager for work, sport, or active adventures, this truly exceptional dog might be your perfect match.","Smart, Work-Oriented, Exuberant",17,45.72,58.42,18.14,29.48,12,15,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1,Eager to Please,0.6,Alert/Responsive
Australian Stumpy Tail Cattle Dog,"**Australian Stumpy Tail Cattle Dog: A Breed Apart**

Often mistaken for an Australian Cattle Dog with a docked tail, the **Australian Stumpy Tail Cattle Dog** is a distinct and ancient breed with a unique heritage and conformation. While both are exceptional working dogs, they are fundamentally separate.

The Stumpy Tail Cattle Dog boasts a lean, agile build, standing square with ample leg length beneath a sturdy body. This athleticism reflects their historical role as tireless drovers of cattle over vast distances. True to their name, the characteristic ""stumpy"" tail is a natural genetic trait, not the result of surgical docking.

A fascinating aspect of the breed's genetics is that while most are born with the iconic bobtail, some pups arrive with full-length tails. These long-tailed individuals are vital to the breed's genetic diversity and should not be overlooked for breeding. Reputable breeders understand the importance of including structurally sound long-tailed Stumpies in their programs, ideally breeding them back to quality natural bob-tailed partners to maintain the desired tail length within the breed.

For more information about this unique and spirited breed, or to connect with enthusiasts and breeders, please reach out to the Australian Stumpy Tail Cattle Dog Society of the United States:

*   **Denyse Adams:** chredacds8@gmail.com
*   **Lori Graham:** lgraham1145@yahoo.com
*   **Kim McDonald:** breezyacresstumpies@gmail.com
*   **Kevin Nicholson:** nicholson.klnicholson@gmail.com","Alert, Trainable, Comical",,43.18,50.8,14.51,20.41,12,15,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
Australian Terrier,"The Australian Terrier is a compact and hardy companion, brimming with self-confidence and a distinctive, rugged charm. Instantly recognizable, they sport a harsh, shaggy coat that contrasts with a softer, silky topknot and unique furnishings around the neck and forequarters. A long neck lends a dash of elegance, while their dark, intelligent eyes sparkle with keen awareness. Coat colors typically include striking blue-and-tan, or warm solid red or sandy.

Beneath that charming exterior lies the heart of a true terrier. Aussies are alert watchdogs, quick to pick up new commands, making them surprisingly adept students. Their working dog heritage is evident in their free and easy gait, as well as their innate instincts: an unwavering love for digging and an irrepressible urge to chase small, furry creatures. Plucky, spirited, and smart, these little dynamos approach life with plenty of old-time terrier curiosity and grit.

While undeniably lively and upbeat, the self-assured Aussie often prefers to be the sole recipient of your affection. They can be possessive of their humans, meaning multi-dog households might not always be the ideal fit unless proper socialization is in place. For those who welcome their full devotion, the Australian Terrier offers endless entertainment and a profound, loyal bond, truly embodying a big dog spirit in a remarkably bitty package.","Affectionate, Courageous, Spirited",140,25.4,27.94,6.80,9.07,11,15,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.8,Friendly
Azawakh,"Behold the Azawakh, a living sculpture of elegance and athleticism. Hailing from the scorching Sahara regions of West Africa—specifically Burkina Faso, Mali, and Niger—this ancient sighthound is renowned for its strikingly lean physique. Its bone structure and musculature are plainly visible beneath its ultrafine, short coat, a testament to its incredible agility and endurance.

This distinctive look, characterized by smooth S-shaped contours, a deep chest, and an aerodynamic head, marks the Azawakh as a quintessential sighthound. These canine sprinters rely on keen vision and blazing speed to fix and course their prey, a skill honed over more than a thousand years chasing gazelle across vast desert landscapes. Don't be fooled by their refined appearance; Azawakhs are incredibly tough, durable hunters.

The Azawakh's short, fine coat comes in a wide range of colors and patterns, including red, fawn, brindled, blue, black, and brown, often with a black mask or white markings on the legs, chest, or tail tip. There are no color or marking disqualifications in the breed, celebrating their diverse beauty.

In modern homes, this leggy beauty excels as a devoted companion and vigilant guardian, showcasing a temperament befitting its heritage. Its inherited athleticism also makes the Azawakh a natural competitor in activities like lure coursing, embodying centuries of refined hunting prowess.","Loyal, Independent, Deeply Affectionate",of,59.69,73.66,14.97,24.95,12,15,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.8,Friendly
Barbet,"The Barbet, an archetypal water dog of France, is a truly captivating breed with a rich history dating back to the 16th century. This rustic, medium-sized dog is instantly recognizable by his most defining characteristic: a dense, curly coat that covers him from his broad head to his curving tail. The coat, which gives him a delightfully shaggy, ""Muppet-like"" appearance, comes in shades of black, gray, brown, or fawn, sometimes with white markings, and includes a distinctive beard.

Don't let the charmingly disheveled look fool you; the Barbet is a strong, solidly-built athlete bred for centuries to be a keen hunter and tireless swimmer, excelling at locating, flushing, and retrieving birds. In profile, he presents a slightly rectangular outline with balanced proportions, a substantial head, and a long, sweeping tail.

Beyond their robust build, Barbets possess an equally admirable temperament. Highly intelligent and quick to learn, they have a calm and cheerful disposition that makes them wonderful companions. They are known for being very social and loyal, thriving on interaction. As long as their exercise needs are met—which is crucial for this agile water dog—they are easy-going and adaptable family members, embodying both beauty and brains.","Friendly, Bright, Sweet-Natured",of,48.26,62.23,15.88,29.48,12,14,Sporting Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Basenji,"The Basenji, often dubbed Africa's ""Barkless Dog,"" is a truly distinctive and elegant hound. Standing 16-17 inches at the shoulder, they boast a glistening short coat, a tightly curled tail, and an often-wrinkled forehead framing expressive almond-shaped eyes. These features combine to give them an alert, intelligent, and sometimes mischievous look.

More than just a still beauty, the Basenji comes alive in motion, displaying the long, smooth strides of a miniature racehorse. Their famous lack of a bark is compensated by a repertoire of unique sounds, from a chortle to a distinctive yodel, used to convey their feelings. Adding to their feline similarities, Basenjis are remarkably fastidious, meticulously grooming themselves like cats.

Intelligent and poised, this compact hunter is also known for its independent and somewhat challenging nature. They are a ""cult breed,"" not numerous, but cherished by owners who exhibit singular devotion. Ideal for those who can meet their significant exercise demands and embrace the challenge of training this unique, catlike canine, the Basenji offers a beguiling and rewarding companionship.","Independent, Smart, Poised",87,40.64,43.18,9.98,10.89,13,14,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
